hgnc_id	symbol	name	location	location_sortable
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	13q32.1	13q32.1
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	3q27.1	03q27.1
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	16p13.11	16p13.11
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	11p15.1	11p15.1
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	12p12.1	12p12.1
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	6p21.1	06p21.1
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	16q12.1	16q12.1
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	16q12.1	16q12.1
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	Xq28	Xq28
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	12q12	12q12
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	1p21.3	01p21.3
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	14q24.3	14q24.3
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	4q31.21	04q31.21
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	6p21.33	06p21.33
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	7q36.1	07q36.1
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	3q27.1	03q27.1
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	21q22.3	21q22.3
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	4q22.1	04q22.1
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	11q23.3	11q23.3
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	2p21	02p21
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	2p21	02p21
HGNC:17553	ABHD1	abhydrolase domain containing 1	2p23.3	02p23.3
HGNC:18717	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	15q26.1	15q26.1
HGNC:18718	ABHD3	abhydrolase domain containing 3, phospholipase	18q11.2	18q11.2
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	14q11.2	14q11.2
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	3p21.33	03p21.33
HGNC:21398	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	3p14.3	03p14.3
HGNC:23759	ABHD8	abhydrolase domain containing 8	19p13.11	19p13.11
HGNC:25656	ABHD10	abhydrolase domain containing 10, depalmitoylase	3q13.2	03q13.2
HGNC:16407	ABHD11	abhydrolase domain containing 11	7q11.23	07q11.23
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	20p11.21	20p11.21
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	14q22.1	14q22.1
HGNC:20293	ABHD13	abhydrolase domain containing 13	13q33.3	13q33.3
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	3p21.2	03p21.2
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	3p21.2	03p21.2
HGNC:26971	ABHD15	abhydrolase domain containing 15	17q11.2	17q11.2
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase	6p21.33	06p21.33
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	20q13.33	20q13.33
HGNC:28756	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	19p13.3	19p13.3
HGNC:24278	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	9q21.13	09q21.13
HGNC:26925	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	15q25.1	15q25.1
HGNC:26111	ABHD18	abhydrolase domain containing 18	4q28.2	04q28.2
HGNC:11320	ABI1	abl interactor 1	10p12.1	10p12.1
HGNC:24011	ABI2	abl interactor 2	2q33.2	02q33.2
HGNC:29859	ABI3	ABI family member 3	17q21.32	17q21.32
HGNC:17265	ABI3BP	ABI family member 3 binding protein	3q12.2	03q12.2
HGNC:1364	ABITRAM	actin binding transcription modulator	9q31.3	09q31.3
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	9q34.12	09q34.12
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1q25.2	01q25.2
HGNC:78	ABLIM1	actin binding LIM protein 1	10q25.3	10q25.3
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	4p16.1	04p16.1
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	5q32	05q32
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	9q34.2	09q34.2
HGNC:81	ABR	ABR activator of RhoGEF and GTPase	17p13.3	17p13.3
HGNC:30655	ABRA	actin binding Rho activating protein	8q23.1	08q23.1
HGNC:21230	ABRACL	ABRA C-terminal like	6q24.1	06q24.1
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	4q21.23	04q21.23
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	10q26.13	10q26.13
HGNC:17369	ABT1	activator of basal transcription 1	6p22.2	06p22.2
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	3q21.3	03q21.3
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	11p13	11p13
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	3p22.2	03p22.2
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	18q21.1	18q21.1
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	17q12	17q12
HGNC:85	ACACB	acetyl-CoA carboxylase beta	12q24.11	12q24.11
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	11q25	11q25
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	3q21.3	03q21.3
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	12q24.12	12q24.12
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	3q22.1	03q22.1
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	2q34	02q34
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	1p31.1	01p31.1
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	12q24.31	12q24.31
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	10q26.13	10q26.13
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	17p13.1	17p13.1
HGNC:319	ACAN	aggrecan	15q26.1	15q26.1
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	17p13.1	17p13.1
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	3q29	03q29
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	1p36.33	01p36.33
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	11q22.3	11q22.3
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	6q25.3	06q25.3
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	1q42.12	01q42.12
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	17q21.31	17q21.31
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	10p12.1	10p12.1
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	1q25.2-q25.3	01q25.2-q25.3
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	10p13	10p13
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	11p11.2	11p11.2
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	11p11.2	11p11.2
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	16q22.1	16q22.1
HGNC:2707	ACE	angiotensin I converting enzyme	17q23.3	17q23.3
HGNC:13557	ACE2	angiotensin I converting enzyme 2	Xp22.2	Xp22.2
HGNC:18356	ACER1	alkaline ceramidase 1	19p13.3	19p13.3
HGNC:23675	ACER2	alkaline ceramidase 2	9p22.1	09p22.1
HGNC:16066	ACER3	alkaline ceramidase 3	11q13.5	11q13.5
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	7q22.1	07q22.1
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	14q11.2	14q11.2
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	1q23.2	01q23.2
HGNC:1565	ACKR2	atypical chemokine receptor 2	3p22.1	03p22.1
HGNC:23692	ACKR3	atypical chemokine receptor 3	2q37.3	02q37.3
HGNC:1611	ACKR4	atypical chemokine receptor 4	3q22.1	03q22.1
HGNC:115	ACLY	ATP citrate lyase	17q21.2	17q21.2
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	2q21.3	02q21.3
HGNC:117	ACO1	aconitase 1	9p21.1	09p21.1
HGNC:118	ACO2	aconitase 2	22q13.2	22q13.2
HGNC:33904	ACOD1	aconitate decarboxylase 1	13q22.3	13q22.3
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	14q24.3	14q24.3
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	14q24.3	14q24.3
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	14q24.3	14q24.3
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	14q24.3	14q24.3
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	1p36.31	01p36.31
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	20q13.12	20q13.12
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	Xp22.11	Xp22.11
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	1p32.3	01p32.3
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	5q14.1	05q14.1
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	6p22.3	06p22.3
HGNC:119	ACOX1	acyl-CoA oxidase 1	17q25.1	17q25.1
HGNC:120	ACOX2	acyl-CoA oxidase 2	3p14.3	03p14.3
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl	4p16.1	04p16.1
HGNC:25621	ACOXL	acyl-CoA oxidase like	2q13	02q13
HGNC:122	ACP1	acid phosphatase 1	2p25.3	02p25.3
HGNC:123	ACP2	acid phosphatase 2, lysosomal	11p11.2	11p11.2
HGNC:125	ACP3	acid phosphatase 3	3q22.1	03q22.1
HGNC:14376	ACP4	acid phosphatase 4	19q13.33	19q13.33
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	19p13.2	19p13.2
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	1q21.2	01q21.2
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	19q13.2	19q13.2
HGNC:126	ACR	acrosin	22q13.33	22q13.33
HGNC:17195	ACRBP	acrosin binding protein	12p13.31	12p13.31
HGNC:127	ACRV1	acrosomal vesicle protein 1	11q24.2	11q24.2
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	15q25.1	15q25.1
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	19p13.3	19p13.3
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	17q21.33	17q21.33
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	16q24.3	16q24.3
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	4q35.1	04q35.1
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	2q36.1	02q36.1
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	Xq23	Xq23
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	10q25.2	10q25.2
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	5q31.1	05q31.1
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	16p12.3	16p12.3
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	16p12.3	16p12.3
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	16p12.3	16p12.3
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	16p12.3	16p12.3
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4	12p13.31	12p13.31
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	16p12.3	16p12.3
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	10q23.33	10q23.33
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	20p11.21	20p11.21
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	20q11.22	20q11.22
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3	12q21.31	12q21.31
HGNC:129	ACTA1	actin alpha 1, skeletal muscle	1q42.13	01q42.13
HGNC:130	ACTA2	actin alpha 2, smooth muscle	10q23.31	10q23.31
HGNC:132	ACTB	actin beta	7p22.1	07p22.1
HGNC:17780	ACTBL2	actin beta like 2	5q11.2	05q11.2
HGNC:143	ACTC1	actin alpha cardiac muscle 1	15q14	15q14
HGNC:144	ACTG1	actin gamma 1	17q25.3	17q25.3
HGNC:145	ACTG2	actin gamma 2, smooth muscle	2p13.1	02p13.1
HGNC:24124	ACTL6A	actin like 6A	3q26.33	03q26.33
HGNC:160	ACTL6B	actin like 6B	7q22.1	07q22.1
HGNC:161	ACTL7A	actin like 7A	9q31.3	09q31.3
HGNC:162	ACTL7B	actin like 7B	9q31.3	09q31.3
HGNC:24018	ACTL8	actin like 8	1p36.13	01p36.13
HGNC:28494	ACTL9	actin like 9	19p13.2	19p13.2
HGNC:16127	ACTL10	actin like 10	20q11.22	20q11.22
HGNC:163	ACTN1	actinin alpha 1	14q24.1	14q24.1
HGNC:164	ACTN2	actinin alpha 2	1q43	01q43
HGNC:165	ACTN3	actinin alpha 3 (gene/pseudogene)	11q13.2	11q13.2
HGNC:166	ACTN4	actinin alpha 4	19q13.2	19q13.2
HGNC:167	ACTR1A	actin related protein 1A	10q24.32	10q24.32
HGNC:168	ACTR1B	actin related protein 1B	2q11.2	02q11.2
HGNC:169	ACTR2	actin related protein 2	2p14	02p14
HGNC:170	ACTR3	actin related protein 3	2q14.1	02q14.1
HGNC:17256	ACTR3B	actin related protein 3B	7q36.1-q36.2	07q36.1-q36.2
HGNC:37282	ACTR3C	actin related protein 3C	7q36.1	07q36.1
HGNC:14671	ACTR5	actin related protein 5	20q11.23	20q11.23
HGNC:24025	ACTR6	actin related protein 6	12q23.1	12q23.1
HGNC:14672	ACTR8	actin related protein 8	3p21.1	03p21.1
HGNC:17372	ACTR10	actin related protein 10	14q23.1	14q23.1
HGNC:24027	ACTRT1	actin related protein T1	Xq25	Xq25
HGNC:24026	ACTRT2	actin related protein T2	1p36.32	01p36.32
HGNC:24022	ACTRT3	actin related protein T3	3q26.2	03q26.2
HGNC:171	ACVR1	activin A receptor type 1	2q24.1	02q24.1
HGNC:172	ACVR1B	activin A receptor type 1B	12q13.13	12q13.13
HGNC:18123	ACVR1C	activin A receptor type 1C	2q24.1	02q24.1
HGNC:173	ACVR2A	activin A receptor type 2A	2q22.3-q23.1	02q22.3-q23.1
HGNC:174	ACVR2B	activin A receptor type 2B	3p22.2	03p22.2
HGNC:175	ACVRL1	activin A receptor like type 1	12q13.13	12q13.13
HGNC:177	ACY1	aminoacylase 1	3p21.2	03p21.2
HGNC:24104	ACY3	aminoacylase 3	11q13.2	11q13.2
HGNC:179	ACYP1	acylphosphatase 1	14q24.3	14q24.3
HGNC:180	ACYP2	acylphosphatase 2	2p16.2	02p16.2
HGNC:186	ADA	adenosine deaminase	20q13.12	20q13.12
HGNC:1839	ADA2	adenosine deaminase 2	22q11.1	22q11.1
HGNC:30713	ADAD1	adenosine deaminase domain containing 1	4q27	04q27
HGNC:30714	ADAD2	adenosine deaminase domain containing 2	16q24.1	16q24.1
HGNC:31853	ADAL	adenosine deaminase like	15q15.3	15q15.3
HGNC:198	ADAM2	ADAM metallopeptidase domain 2	8p11.22	08p11.22
HGNC:214	ADAM7	ADAM metallopeptidase domain 7	8p21.2	08p21.2
HGNC:215	ADAM8	ADAM metallopeptidase domain 8	10q26.3	10q26.3
HGNC:216	ADAM9	ADAM metallopeptidase domain 9	8p11.22	08p11.22
HGNC:188	ADAM10	ADAM metallopeptidase domain 10	15q21.3	15q21.3
HGNC:189	ADAM11	ADAM metallopeptidase domain 11	17q21.31	17q21.31
HGNC:190	ADAM12	ADAM metallopeptidase domain 12	10q26.2	10q26.2
HGNC:193	ADAM15	ADAM metallopeptidase domain 15	1q21.3	01q21.3
HGNC:195	ADAM17	ADAM metallopeptidase domain 17	2p25.1	02p25.1
HGNC:196	ADAM18	ADAM metallopeptidase domain 18	8p11.22	08p11.22
HGNC:197	ADAM19	ADAM metallopeptidase domain 19	5q33.3	05q33.3
HGNC:199	ADAM20	ADAM metallopeptidase domain 20	14q24.2	14q24.2
HGNC:200	ADAM21	ADAM metallopeptidase domain 21	14q24.2	14q24.2
HGNC:201	ADAM22	ADAM metallopeptidase domain 22	7q21.12	07q21.12
HGNC:202	ADAM23	ADAM metallopeptidase domain 23	2q33.3	02q33.3
HGNC:206	ADAM28	ADAM metallopeptidase domain 28	8p21.2	08p21.2
HGNC:207	ADAM29	ADAM metallopeptidase domain 29	4q34.1	04q34.1
HGNC:208	ADAM30	ADAM metallopeptidase domain 30	1p12	01p12
HGNC:15479	ADAM32	ADAM metallopeptidase domain 32	8p11.22	08p11.22
HGNC:15478	ADAM33	ADAM metallopeptidase domain 33	20p13	20p13
HGNC:16299	ADAMDEC1	ADAM like decysin 1	8p21.2	08p21.2
HGNC:217	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	21q21.3	21q21.3
HGNC:218	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	5q35.3	05q35.3
HGNC:219	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	4q13.3	04q13.3
HGNC:220	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	1q23.3	01q23.3
HGNC:221	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	21q21.3	21q21.3
HGNC:222	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	5q12.3	05q12.3
HGNC:223	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	15q25.1	15q25.1
HGNC:224	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	11q24.3	11q24.3
HGNC:13202	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	3p14.1	03p14.1
HGNC:13201	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	19p13.2	19p13.2
HGNC:14605	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	5p13.3-p13.2	05p13.3-p13.2
HGNC:1366	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	9q34.2	09q34.2
HGNC:14899	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	10q22.1	10q22.1
HGNC:16305	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	11q24.3	11q24.3
HGNC:17108	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	5p15.32	05p15.32
HGNC:17109	ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	15q26.3	15q26.3
HGNC:17110	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	16q23.1	16q23.1
HGNC:17111	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19	5q23.3	05q23.3
HGNC:17178	ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20	12q12	12q12
HGNC:14632	ADAMTSL1	ADAMTS like 1	9p22.2-p22.1	09p22.2-p22.1
HGNC:14631	ADAMTSL2	ADAMTS like 2	9q34.2	09q34.2
HGNC:14633	ADAMTSL3	ADAMTS like 3	15q25.2	15q25.2
HGNC:19706	ADAMTSL4	ADAMTS like 4	1q21.2	01q21.2
HGNC:27912	ADAMTSL5	ADAMTS like 5	19p13.3	19p13.3
HGNC:16486	ADAP1	ArfGAP with dual PH domains 1	7p22.3	07p22.3
HGNC:16487	ADAP2	ArfGAP with dual PH domains 2	17q11.2	17q11.2
HGNC:225	ADAR	adenosine deaminase RNA specific	1q21.3	01q21.3
HGNC:226	ADARB1	adenosine deaminase RNA specific B1	21q22.3	21q22.3
HGNC:227	ADARB2	adenosine deaminase RNA specific B2 (inactive)	10p15.3	10p15.3
HGNC:228	ADAT1	adenosine deaminase tRNA specific 1	16q23.1	16q23.1
HGNC:21172	ADAT2	adenosine deaminase tRNA specific 2	6q24.2	06q24.2
HGNC:25151	ADAT3	adenosine deaminase tRNA specific 3	19p13.3	19p13.3
HGNC:19038	ADCK1	aarF domain containing kinase 1	14q24.3	14q24.3
HGNC:19039	ADCK2	aarF domain containing kinase 2	7q34	07q34
HGNC:21738	ADCK5	aarF domain containing kinase 5	8q24.3	08q24.3
HGNC:232	ADCY1	adenylate cyclase 1	7p12.3	07p12.3
HGNC:233	ADCY2	adenylate cyclase 2	5p15.31	05p15.31
HGNC:234	ADCY3	adenylate cyclase 3	2p23.3	02p23.3
HGNC:235	ADCY4	adenylate cyclase 4	14q12	14q12
HGNC:236	ADCY5	adenylate cyclase 5	3q21.1	03q21.1
HGNC:237	ADCY6	adenylate cyclase 6	12q13.12	12q13.12
HGNC:238	ADCY7	adenylate cyclase 7	16q12.1	16q12.1
HGNC:239	ADCY8	adenylate cyclase 8	8q24.22	08q24.22
HGNC:240	ADCY9	adenylate cyclase 9	16p13.3	16p13.3
HGNC:21285	ADCY10	adenylate cyclase 10	1q24.2	01q24.2
HGNC:241	ADCYAP1	adenylate cyclase activating polypeptide 1	18p11.32	18p11.32
HGNC:242	ADCYAP1R1	ADCYAP receptor type I	7p14.3	07p14.3
HGNC:243	ADD1	adducin 1	4p16.3	04p16.3
HGNC:244	ADD2	adducin 2	2p13.3	02p13.3
HGNC:245	ADD3	adducin 3	10q25.1-q25.2	10q25.1-q25.2
HGNC:21212	ADGB	androglobin	6q24.3	06q24.3
HGNC:13838	ADGRA1	adhesion G protein-coupled receptor A1	10q26.3	10q26.3
HGNC:17849	ADGRA2	adhesion G protein-coupled receptor A2	8p11.23	08p11.23
HGNC:13839	ADGRA3	adhesion G protein-coupled receptor A3	4p15.2	04p15.2
HGNC:943	ADGRB1	adhesion G protein-coupled receptor B1	8q24.3	08q24.3
HGNC:944	ADGRB2	adhesion G protein-coupled receptor B2	1p35.2	01p35.2
HGNC:945	ADGRB3	adhesion G protein-coupled receptor B3	6q12-q13	06q12-q13
HGNC:19893	ADGRD1	adhesion G protein-coupled receptor D1	12q24.33	12q24.33
HGNC:18651	ADGRD2	adhesion G protein-coupled receptor D2	9q33.3	09q33.3
HGNC:3336	ADGRE1	adhesion G protein-coupled receptor E1	19p13.3-p13.2	19p13.3-p13.2
HGNC:3337	ADGRE2	adhesion G protein-coupled receptor E2	19p13.12	19p13.12
HGNC:23647	ADGRE3	adhesion G protein-coupled receptor E3	19p13.12	19p13.12
HGNC:1711	ADGRE5	adhesion G protein-coupled receptor E5	19p13.12	19p13.12
HGNC:18990	ADGRF1	adhesion G protein-coupled receptor F1	6p12.3	06p12.3
HGNC:18991	ADGRF2	adhesion G protein-coupled receptor F2	6p12.3	06p12.3
HGNC:18989	ADGRF3	adhesion G protein-coupled receptor F3	2p23.3	02p23.3
